#
# LEM -- bench entrelace 2 APN (~12 min). Usage personnel. Pas le script aube.
# Genere par scripts/generate_lem_bench_2apn_interlace.py -- ne pas editer a la main.
#
# Noms : 600D-T150 (RAW) ; 100D-W24 (JPG-F). Ref : docs/lem-apn-scripting.md
#
# Phase 1 : 600D seul — rampe 5 puis 7 (cadence 2 min).
# Phase 2 : 100D demarre a MAX+0:02:40 ; bracket 3 vues toutes les
#   20 s (cible film 20 s @ 25 fps sur U1->moonset ~9974 s
#   -> 500 keyframes -> pas ~20 s). Tv 1/60 1/15 1/4 (enum LEM) pour le creneau.
# Phase 3 : 600D continue a 4/6/8 min pendant les brackets 100D (USB dual).
#
# Incremental N en tete de rampe / si pose >= 1 s. Pas d'allumage tardif.
# Mac : Temps simule = MAX - 30 s ; laisser courir jusqu'au PLAY (~MAX+10:35).
# Cartes vides. Attendu : 33 CR2 + 72 JPG (24 x 3).
# Protocole : essais-2026/README.md
#

#Action,Date/Ref,Offset sign,Time (offset),Camera,Exposure,Aperture,ISO,MLU,Quality,Size,Incremental,Comment

COMMAND,MAX,-,00:00:20.0, , , , , , , , ,Deux APN ;say "Deux APN"
COMMAND,MAX,-,00:00:19.0, , , , , , , , ,Entrelace ;say "Entrelace"

COMMAND,MAX,-,00:00:10.0, , , , , , , , ,Rampe 5 ;say "Rampe 5"
TAKEPIC,MAX,+,00:00:00.0,600D-T150,1/1000,5.6,100,0.0,RAW,None,N,Pen5 1/1000 ISO100
TAKEPIC,MAX,+,00:00:03.0,600D-T150,1/250,5.6,100,0.0,RAW,None,Y,Pen5 1/250 ISO100
TAKEPIC,MAX,+,00:00:06.0,600D-T150,1/125,5.6,200,0.0,RAW,None,Y,Pen5 1/125 ISO200
TAKEPIC,MAX,+,00:00:09.0,600D-T150,1/30,5.6,200,0.0,RAW,None,Y,Pen5 1/30 ISO200
TAKEPIC,MAX,+,00:00:12.0,600D-T150,1/8,5.6,200,0.0,RAW,None,Y,Pen5 1/8 ISO200

COMMAND,MAX,+,00:01:50.0, , , , , , , , ,Rampe 7 ;say "Rampe 7"
TAKEPIC,MAX,+,00:02:00.0,600D-T150,1/1000,5.6,100,0.0,RAW,None,N,Cour7a 1/1000 ISO100
TAKEPIC,MAX,+,00:02:03.0,600D-T150,1/250,5.6,100,0.0,RAW,None,Y,Cour7a 1/250 ISO100
TAKEPIC,MAX,+,00:02:06.0,600D-T150,1/125,5.6,200,0.0,RAW,None,Y,Cour7a 1/125 ISO200
