#
# LEM -- seance 600D au foyer 150 mm f/5 (forme C). Usage personnel.
# Tournefeuille 28 aout 2026. Copier vers
# ~/Documents/Scripts Lunar Eclipse Maestro/ puis Fichier -> Charger script...
#
# Nom APN Configuration materielle : 600D-T150 (casse exacte)
# Carte 32 Go, RAW, mode M, MAP manuelle, AEB off, EOS Utility ferme.
#
# Optique : telescope 150 mm f/5 (750 mm), T-ring muet (KI-019).
# Colonne Av = 5.6 = ce que LEM envoie en USB (meme valeur que le bench
# 15-85). Le tube n'a pas de diaphragme : le faisceau reste f/5.
# Grille Tv/ISO calculee pour f/5 (formes para. 11). f/5 est ~0.3 EV plus
# ouvert que la colonne Jubier f/5.6 ; on garde 1/1000 (legerement riche
# vs 1/1250 equivalent), pas un recadrage d'expo.
#
# Ancrage : toutes les 2 min sur MAX (06:12:55 CEST).
#   Premiere rampe MAX-01:52:00 = 04:20:55
#   Derniere rampe MAX+01:06:00 = 07:18:55 (moonset 07:20:26)
# Penombre 5 vues (1-5). Courante 7. Etendue 9 aux stacks nommes.
# Etendue 06:30 = MAX+00:18:00 (06:30:55) : 4e HDR umbra, PAS le bloc MAX.
# Bloc MAX (DEC-015) : etendue 9 + Iso 100 (-> 4 s) + Iso 1600 (1/4000 -> 1 s).
# Saut MAX+00:02:00 (la courante de 06:14:55). Trou accu 05:40-05:55.
# Reprise 05:56:55 Incremental N. Aube 5 vues des 06:44, 3 vues des 07:00.
# Incremental N en tete de CHAQUE rampe, Y ensuite (DEC-016).
# Ecarts >= 3 s ; +4 s apres une pose >= 1 s. Tampon 5 -> 10 s entre blocs MAX.
# COMMAND ;say courts, ASCII, ~1 s (KI-021). Taux Lune, pas sideral (KI-008).
# Ne pas charger basic.txt / deluxe.txt (totalite, KI-018).
#
# ~519 TAKEPIC. Regenerer : .venv/bin/python scripts/generate_lem_seance.py
#

#Action,Date/Ref,Offset sign,Time (offset),Camera,Exposure,Aperture,ISO,MLU,Quality,Size,Incremental,Comment
COMMAND,MAX,-,01:52:55.0, , , , , , , , ,Suivi Lune ;say "Suivi Lune"
COMMAND,MAX,-,01:52:54.0, , , , , , , , ,Pas sideral ;say "Pas sideral"

# --- Penombre 04:20:55 ---
TAKEPIC,MAX,-,01:52:00.0,600D-T150,1/1000,5.6,100,0.0,RAW,None,N,Penombre 1/1000 ISO100
TAKEPIC,MAX,-,01:51:57.0,600D-T150,1/250,5.6,100,0.0,RAW,None,Y,Penombre 1/250 ISO100
TAKEPIC,MAX,-,01:51:54.0,600D-T150,1/125,5.6,200,0.0,RAW,None,Y,Penombre 1/125 ISO200
TAKEPIC,MAX,-,01:51:51.0,600D-T150,1/30,5.6,200,0.0,RAW,None,Y,Penombre 1/30 ISO200
TAKEPIC,MAX,-,01:51:48.0,600D-T150,1/8,5.6,200,0.0,RAW,None,Y,Penombre 1/8 ISO200
TAKEPIC,MAX,-,01:50:00.0,600D-T150,1/1000,5.6,100,0.0,RAW,None,N,Penombre 1/1000 ISO100
TAKEPIC,MAX,-,01:49:57.0,600D-T150,1/250,5.6,100,0.0,RAW,None,Y,Penombre 1/250 ISO100
TAKEPIC,MAX,-,01:49:54.0,600D-T150,1/125,5.6,200,0.0,RAW,None,Y,Penombre 1/125 ISO200
TAKEPIC,MAX,-,01:49:51.0,600D-T150,1/30,5.6,200,0.0,RAW,None,Y,Penombre 1/30 ISO200
TAKEPIC,MAX,-,01:49:48.0,600D-T150,1/8,5.6,200,0.0,RAW,None,Y,Penombre 1/8 ISO200
TAKEPIC,MAX,-,01:48:00.0,600D-T150,1/1000,5.6,100,0.0,RAW,None,N,Penombre 1/1000 ISO100
TAKEPIC,MAX,-,01:47:57.0,600D-T150,1/250,5.6,100,0.0,RAW,None,Y,Penombre 1/250 ISO100
TAKEPIC,MAX,-,01:47:54.0,600D-T150,1/125,5.6,200,0.0,RAW,None,Y,Penombre 1/125 ISO200
TAKEPIC,MAX,-,01:47:51.0,600D-T150,1/30,5.6,200,0.0,RAW,None,Y,Penombre 1/30 ISO200
TAKEPIC,MAX,-,01:47:48.0,600D-T150,1/8,5.6,200,0.0,RAW,None,Y,Penombre 1/8 ISO200
TAKEPIC,MAX,-,01:46:00.0,600D-T150,1/1000,5.6,100,0.0,RAW,None,N,Penombre 1/1000 ISO100
TAKEPIC,MAX,-,01:45:57.0,600D-T150,1/250,5.6,100,0.0,RAW,None,Y,Penombre 1/250 ISO100
TAKEPIC,MAX,-,01:45:54.0,600D-T150,1/125,5.6,200,0.0,RAW,None,Y,Penombre 1/125 ISO200
TAKEPIC,MAX,-,01:45:51.0,600D-T150,1/30,5.6,200,0.0,RAW,None,Y,Penombre 1/30 ISO200
TAKEPIC,MAX,-,01:45:48.0,600D-T150,1/8,5.6,200,0.0,RAW,None,Y,Penombre 1/8 ISO200
TAKEPIC,MAX,-,01:44:00.0,600D-T150,1/1000,5.6,100,0.0,RAW,None,N,Penombre 1/1000 ISO100
TAKEPIC,MAX,-,01:43:57.0,600D-T150,1/250,5.6,100,0.0,RAW,None,Y,Penombre 1/250 ISO100
TAKEPIC,MAX,-,01:43:54.0,600D-T150,1/125,5.6,200,0.0,RAW,None,Y,Penombre 1/125 ISO200
TAKEPIC,MAX,-,01:43:51.0,600D-T150,1/30,5.6,200,0.0,RAW,None,Y,Penombre 1/30 ISO200
TAKEPIC,MAX,-,01:43:48.0,600D-T150,1/8,5.6,200,0.0,RAW,None,Y,Penombre 1/8 ISO200
TAKEPIC,MAX,-,01:42:00.0,600D-T150,1/1000,5.6,100,0.0,RAW,None,N,Penombre 1/1000 ISO100
TAKEPIC,MAX,-,01:41:57.0,600D-T150,1/250,5.6,100,0.0,RAW,None,Y,Penombre 1/250 ISO100
TAKEPIC,MAX,-,01:41:54.0,600D-T150,1/125,5.6,200,0.0,RAW,None,Y,Penombre 1/125 ISO200
TAKEPIC,MAX,-,01:41:51.0,600D-T150,1/30,5.6,200,0.0,RAW,None,Y,Penombre 1/30 ISO200
TAKEPIC,MAX,-,01:41:48.0,600D-T150,1/8,5.6,200,0.0,RAW,None,Y,Penombre 1/8 ISO200
TAKEPIC,MAX,-,01:40:00.0,600D-T150,1/1000,5.6,100,0.0,RAW,None,N,Penombre 1/1000 ISO100
TAKEPIC,MAX,-,01:39:57.0,600D-T150,1/250,5.6,100,0.0,RAW,None,Y,Penombre 1/250 ISO100
TAKEPIC,MAX,-,01:39:54.0,600D-T150,1/125,5.6,200,0.0,RAW,None,Y,Penombre 1/125 ISO200
TAKEPIC,MAX,-,01:39:51.0,600D-T150,1/30,5.6,200,0.0,RAW,None,Y,Penombre 1/30 ISO200
TAKEPIC,MAX,-,01:39:48.0,600D-T150,1/8,5.6,200,0.0,RAW,None,Y,Penombre 1/8 ISO200

# --- Courante 04:34:55 ---
TAKEPIC,MAX,-,01:38:00.0,600D-T150,1/1000,5.6,100,0.0,RAW,None,N,Courante 1/1000 ISO100
TAKEPIC,MAX,-,01:37:57.0,600D-T150,1/250,5.6,100,0.0,RAW,None,Y,Courante 1/250 ISO100
TAKEPIC,MAX,-,01:37:54.0,600D-T150,1/125,5.6,200,0.0,RAW,None,Y,Courante 1/125 ISO200
TAKEPIC,MAX,-,01:37:51.0,600D-T150,1/30,5.6,200,0.0,RAW,None,Y,Courante 1/30 ISO200
TAKEPIC,MAX,-,01:37:48.0,600D-T150,1/8,5.6,200,0.0,RAW,None,Y,Courante 1/8 ISO200
TAKEPIC,MAX,-,01:37:45.0,600D-T150,1/8,5.6,800,0.0,RAW,None,Y,Courante 1/8 ISO800
TAKEPIC,MAX,-,01:37:42.0,600D-T150,1/2,5.6,800,0.0,RAW,None,Y,Courante 1/2 ISO800
TAKEPIC,MAX,-,01:36:00.0,600D-T150,1/1000,5.6,100,0.0,RAW,None,N,Courante 1/1000 ISO100
TAKEPIC,MAX,-,01:35:57.0,600D-T150,1/250,5.6,100,0.0,RAW,None,Y,Courante 1/250 ISO100
TAKEPIC,MAX,-,01:35:54.0,600D-T150,1/125,5.6,200,0.0,RAW,None,Y,Courante 1/125 ISO200
TAKEPIC,MAX,-,01:35:51.0,600D-T150,1/30,5.6,200,0.0,RAW,None,Y,Courante 1/30 ISO200
TAKEPIC,MAX,-,01:35:48.0,600D-T150,1/8,5.6,200,0.0,RAW,None,Y,Courante 1/8 ISO200
TAKEPIC,MAX,-,01:35:45.0,600D-T150,1/8,5.6,800,0.0,RAW,None,Y,Courante 1/8 ISO800
TAKEPIC,MAX,-,01:35:42.0,600D-T150,1/2,5.6,800,0.0,RAW,None,Y,Courante 1/2 ISO800
TAKEPIC,MAX,-,01:34:00.0,600D-T150,1/1000,5.6,100,0.0,RAW,None,N,Courante 1/1000 ISO100
TAKEPIC,MAX,-,01:33:57.0,600D-T150,1/250,5.6,100,0.0,RAW,None,Y,Courante 1/250 ISO100
TAKEPIC,MAX,-,01:33:54.0,600D-T150,1/125,5.6,200,0.0,RAW,None,Y,Courante 1/125 ISO200
